strain	date	country	division	author	author__url	accession	accession__url
EM_000707	2014-09-22	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817080	https://www.ncbi.nlm.nih.gov/nuccore/KR817080
EM_074461	2014-08-04	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817120	https://www.ncbi.nlm.nih.gov/nuccore/KR817120
G3680	2014-05-28	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034559	https://www.ncbi.nlm.nih.gov/nuccore/KM034559
G3683	2014-05-28	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034561	https://www.ncbi.nlm.nih.gov/nuccore/KM034561
EM_079880	2014-06-05	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817220	https://www.ncbi.nlm.nih.gov/nuccore/KR817220
G3687	2014-05-28	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034563	https://www.ncbi.nlm.nih.gov/nuccore/KM034563
EM_079876	2014-06-05	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817219	https://www.ncbi.nlm.nih.gov/nuccore/KR817219
EM_080253	2014-07-10	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817242	https://www.ncbi.nlm.nih.gov/nuccore/KR817242
G3676	2014-05-27	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034554	https://www.ncbi.nlm.nih.gov/nuccore/KM034554
EM_079983	2014-06-13	Sierra Leone	Kailahun	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817227	https://www.ncbi.nlm.nih.gov/nuccore/KR817227
EM_080132	2014-06-24	Sierra Leone	Kailahun	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817236	https://www.ncbi.nlm.nih.gov/nuccore/KR817236
EM095	2014-05-25	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034550	https://www.ncbi.nlm.nih.gov/nuccore/KM034550
EM_080064	2014-06-20	Liberia	Lofa	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817231	https://www.ncbi.nlm.nih.gov/nuccore/KR817231
EM_080066	2014-06-20	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817233	https://www.ncbi.nlm.nih.gov/nuccore/KR817233
EM_000500	2014-09-13	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817076	https://www.ncbi.nlm.nih.gov/nuccore/KR817076
EM120	2014-06-03	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233043	https://www.ncbi.nlm.nih.gov/nuccore/KM233043
G3670	2014-05-27	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034553	https://www.ncbi.nlm.nih.gov/nuccore/KM034553
G3769	2014-06-12	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233065	https://www.ncbi.nlm.nih.gov/nuccore/KM233065
EM_080223	2014-07-04	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817241	https://www.ncbi.nlm.nih.gov/nuccore/KR817241
LIBR10240	2014-06-24	Liberia	Liberia	Ladner et al		KT725320	https://www.ncbi.nlm.nih.gov/nuccore/KT725320
EM121	2014-06-04	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233044	https://www.ncbi.nlm.nih.gov/nuccore/KM233044
G4221.1	2014-07-09	Sierra Leone	Sierra Leone	Goba et al		KR105219	https://www.ncbi.nlm.nih.gov/nuccore/KR105219
G3810	2014-06-15	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233087	https://www.ncbi.nlm.nih.gov/nuccore/KM233087
G3831	2014-06-16	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233103	https://www.ncbi.nlm.nih.gov/nuccore/KM233103
G3787	2014-06-14	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM233074	https://www.ncbi.nlm.nih.gov/nuccore/KM233074
EM096	2014-05-26	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034551	https://www.ncbi.nlm.nih.gov/nuccore/KM034551
G3679	2014-05-28	Sierra Leone	Kailahun	Gire et al	https://www.ncbi.nlm.nih.gov/pubmed/25214632	KM034558	https://www.ncbi.nlm.nih.gov/nuccore/KM034558
G4437.1	2014-07-20	Sierra Leone	Kenema	Goba et al		KR105255	https://www.ncbi.nlm.nih.gov/nuccore/KR105255
V20140517	2014-09-05	Sierra Leone	Kailahun	Whitmer et al A		KR653263	https://www.ncbi.nlm.nih.gov/nuccore/KR653263
G4973.1	2014-08-12	Sierra Leone	Sierra Leone	Goba et al		KR105286	https://www.ncbi.nlm.nih.gov/nuccore/KR105286
G4445.1	2014-07-21	Sierra Leone	Kenema	Goba et al		KR105256	https://www.ncbi.nlm.nih.gov/nuccore/KR105256
LIBR10226	2014-09-26	Liberia	Montserrado	Ladner et al		KT725304	https://www.ncbi.nlm.nih.gov/nuccore/KT725304
LIBR10239	2014-07-19	Liberia	Liberia	Ladner et al		KT725324	https://www.ncbi.nlm.nih.gov/nuccore/KT725324
LIBR10306	2014-06-25	Liberia	Liberia	Ladner et al		KT725336	https://www.ncbi.nlm.nih.gov/nuccore/KT725336
LIBR10014	2014-08-19	Liberia	Montserrado	Ladner et al		KT725390	https://www.ncbi.nlm.nih.gov/nuccore/KT725390
LIBR10032	2014-08-16	Liberia	Liberia	Ladner et al		KT725267	https://www.ncbi.nlm.nih.gov/nuccore/KT725267
LIBR11079	2014-10-02	Liberia	Montserrado	Ladner et al		KT725372	https://www.ncbi.nlm.nih.gov/nuccore/KT725372
LIBR10047	2014-10-01	Liberia	Margibi	Ladner et al		KT725345	https://www.ncbi.nlm.nih.gov/nuccore/KT725345
LIBR0159	2014-11-13	Liberia	Montserrado	Ladner et al		KT725327	https://www.ncbi.nlm.nih.gov/nuccore/KT725327
